
Creation Date,Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Requisition Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Sub-Acquisition Method,Department Name,Supplier Code,Supplier Name,Supplier Qualifications,Supplier Zip Code,CalCard,Item Name,Item Description,Quantity,Unit Price,Total Price,Classification Codes,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title,Location
08/27/2013,,2013-2014,7-12-70-26,REQ0011118,REQ0011118,IT Goods,,WSCA/Coop,,"Consumer Affairs, Department of",1740272,Pitney Bowes,,,NO,USB,USB,1,$1.00,$1.00,,,,,,,,,,
01/29/2014,,2013-2014,,REQ0011932,REQ0011932,NON-IT Goods,,Informal Competitive,,"Consumer Affairs, Department of",1760085,Rodea Auto Tech,,,NO,Tire Disposal,Tire Disposal,2,$2.00,$4.00,76121504,76121504,,,,,,,,
11/01/2013,,2013-2014,,REQ0011476,REQ0011476,IT Services,,Informal Competitive,,"Consumer Affairs, Department of",17224,"Smile Business Products, Inc",,95841,NO,Labor,Labor,4.5,$150.00,$675.00,,,,,,,,,,"95841
(38.662263, -121.346136)"
06/13/2014,06/05/2014,2013-2014,,4500236642,,NON-IT Goods,,Informal Competitive,,Correctional Health Care Services,1754462,ASHAN INC,CA-MB CA-SB,91436,NO,,,,,,,,,,,,,,,"91436
(34.151642, -118.49051)"
03/12/2014,03/12/2014,2013-2014,1-10-75-60A,4500221028,,NON-IT Goods,,Statewide Contract,,"Corrections and Rehabilitation, Department of",1087660,Technology Integration Group,,95814,NO,Toner,Toner,1,$6080.26,$6080.26,44103127,44103127,,,,,,,,"95814
(38.580427, -121.494396)"
10/09/2014,10/01/2014,2014-2015,,4500253427,,NON-IT Goods,,Informal Competitive,,Correctional Health Care Services,1738777,WALGREENS SPECIALTY PHARMACY LLC,,97008,NO,,,,,,,,,,,,,,,"97008
(45.460518, -122.806409)"
10/10/2014,,2014-2015,1-14-75-60A,REQ0013911,REQ0013911,NON-IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",1087660,Technology Integration Group,,95814,NO,HP 35A BLACK TONER,HP 35A BLACK TONER,30,$45.40,$1362.00,44103127,44103127,,,,,,,,"95814
(38.580427, -121.494396)"
04/24/2014,04/14/2014,2013-2014,,12-64006.01,,NON-IT Services,Personal Services,Services are specifically exempt by statute,,"State Hospitals, Department of",1069280,David Gallardo,,93274,NO,Radiation Oncology,Radiation Oncology,1,$400000.00,$400000.00,85121615,85121615,,,,,,,,"93274
(36.193481, -119.358379)"
02/06/2015,,2014-2015,1-14-75-60A,REQ0014515,REQ0014515,NON-IT Goods,,Statewide Contract,,"Consumer Affairs, Department of",1087660,Technology Integration Group,,95814,NO,Black Toner Cartridge for CLJ 4700,Black Toner Cartridge for CLJ 4700,16,$127.06,$2032.96,44103127,44103127,,,,,,,,"95814
(38.580427, -121.494396)"
08/14/2013,07/26/2013,2013-2014,,4500200308,,NON-IT Goods,,Informal Competitive,,"Water Resources, Department of",1014234,CLARKE SALES,,91322,NO,"1"" ss 90* elbow , threaded","1"" ss 90* elbow , threaded",4,$21.65,$86.60,401728,401728,,,,,,,,"91322
(34.379263, -118.547301)"
06/26/2013,,2012-2013,,REQ0010631,REQ0010631,IT Goods,,SB/DVBE Option,,"Consumer Affairs, Department of",4812,Future Data Systems,CA-MB CA-SB,91803,NO,"Software, Articulate Storyline","Software, Articulate Storyline",3,$1439.00,$4317.00,,,,,,,,,,"91803
(34.073577, -118.145947)"
10/18/2012,,2012-2013,,REQ0008876,,IT Goods,,NCB,Other,"Consumer Affairs, Department of",1503144,Dearborn Group Technology,,48331,NO,Dual LIN 2.0 / J2602 (2 Channels),Dual LIN 2.0 / J2602 (2 Channels),2,$495.00,$990.00,,,,,,,,,,"48331
(42.506886, -83.407804)"
06/10/2015,06/08/2015,2014-2015,,4500285629,,NON-IT Goods,,Formal Competitive,,Correctional Health Care Services,38819,"Livermore Scientific, Inc.",CA-DVBE CA-MB CA-SB CDVBE,93065,NO,,,,,,,,,,,,,,,"93065
(34.270627, -118.772831)"
06/09/2015,06/09/2015,2014-2015,,14-280-1263,,IT Goods,,SB/DVBE Option,,"Water Resources Control Board, State",1017216,GRANITE DATA SOLUTIONS,,95610,NO,MAGENTA TONER,MAGENTA TONER,4,$314.99,$1259.96,44103127,44103127,,,,,,,,"95610
(38.69507, -121.271144)"
07/03/2012,,2012-2013,SBP01337,REQ0008912,REQ0008912,NON-IT Goods,,WSCA/Coop,,"Consumer Affairs, Department of",1758289,VWR International,,,NO,62993-056: TUBE NORPRENE A60G 1/4X3/8 50',62993-056: TUBE NORPRENE A60G 1/4X3/8 50',1,$24.73,$24.73,,,,,,,,,,
